 

stn;time;gor000za
WSLBAF;200001021350;6
WSLBAF;200001021400;13
WSLBAF;200001021410;32
WSLBAF;200001021420;15
WSLBAF;200001021430;12
WSLBAF;200001021440;15
WSLBAF;200001021450;17
WSLBAF;200001021500;10
WSLBAF;200001021510;4
WSLBAF;200001021520;5
WSLBAF;200001021530;6
WSLBAF;200001021540;4
WSLBAF;200001021550;2
WSLBAF;200001021600;0
WSLBAF;200001021610;0
WSLBAF;200001021620;0
WSLBAF;200001021630;0
WSLBAF;200001021640;0
WSLBAF;200001021650;0
WSLBAF;200001021700;0
WSLBAF;200001021710;0
WSLBAF;200001021720;0
WSLBAF;200001021730;0
WSLBAF;200001021740;0
WSLBAF;200001021750;0
WSLBAF;200001021800;0
WSLBAF;200001021810;0
WSLBAF;200001021820;0
WSLBAF;200001021830;0
WSLBAF;200001021840;0
WSLBAF;200001021850;0
WSLBAF;200001021900;0
WSLBAF;200001021910;0
WSLBAF;200001021920;0
WSLBAF;200001021930;0
WSLBAF;200001021940;0
WSLBAF;200001021950;0
WSLBAF;200001022000;0
WSLBAF;200001022010;0
WSLBAF;200001022020;0
WSLBAF;200001022030;0
WSLBAF;200001022040;0
WSLBAF;200001022050;0
WSLBAF;200001022100;0
WSLBAF;200001022110;0
WSLBAF;200001022120;0
WSLBAF;200001022130;0
WSLBAF;200001022140;0
WSLBAF;200001022150;0
WSLBAF;200001022200;0
WSLBAF;200001022210;0
WSLBAF;200001022220;0
WSLBAF;200001022230;0
WSLBAF;200001022240;0
WSLBAF;200001022250;0
WSLBAF;200001022300;0
WSLBAF;200001022310;0
WSLBAF;200001022320;0
WSLBAF;200001022330;0
WSLBAF;200001022340;0
WSLBAF;200001022350;0
WSLBAF;200001030000;0
WSLBAF;200001030010;0
WSLBAF;200001030020;0
WSLBAF;200001030030;0
WSLBAF;200001030040;0
WSLBAF;200001030050;0
WSLBAF;200001030100;0
WSLBAF;200001030110;0
WSLBAF;200001030120;0
WSLBAF;200001030130;0
WSLBAF;200001030140;0
WSLBAF;200001030150;0
WSLBAF;200001030200;0
WSLBAF;200001030210;0
WSLBAF;200001030220;0
WSLBAF;200001030230;0
WSLBAF;200001030240;0
WSLBAF;200001030250;0
WSLBAF;200001030300;0
WSLBAF;200001030310;0
WSLBAF;200001030320;0
WSLBAF;200001030330;0
WSLBAF;200001030340;0
WSLBAF;200001030350;0
WSLBAF;200001030400;0
WSLBAF;200001030410;0
WSLBAF;200001030420;0
WSLBAF;200001030430;0
WSLBAF;200001030440;0
WSLBAF;200001030450;0
WSLBAF;200001030500;0
WSLBAF;200001030510;0
WSLBAF;200001030520;0
WSLBAF;200001030530;0
WSLBAF;200001030540;0
WSLBAF;200001030550;0
WSLBAF;200001030600;0
WSLBAF;200001030610;0
WSLBAF;200001030620;0
WSLBAF;200001030630;0
WSLBAF;200001030640;0
WSLBAF;200001030650;0
WSLBAF;200001030700;0
WSLBAF;200001030710;1
WSLBAF;200001030720;1
WSLBAF;200001030730;1
WSLBAF;200001030740;1
WSLBAF;200001030750;1
WSLBAF;200001030800;1
WSLBAF;200001030810;10
WSLBAF;200001030820;31
WSLBAF;200001030830;30
WSLBAF;200001030840;6
WSLBAF;200001030850;6
WSLBAF;200001030900;6
WSLBAF;200001030910;6
WSLBAF;200001030920;5
WSLBAF;200001030930;5
WSLBAF;200001030940;5
WSLBAF;200001030950;5
WSLBAF;200001031000;5
WSLBAF;200001031010;4
WSLBAF;200001031020;3
WSLBAF;200001031030;4
WSLBAF;200001031040;3
WSLBAF;200001031050;3
WSLBAF;200001031100;2
WSLBAF;200001031110;6
WSLBAF;200001031120;14
WSLBAF;200001031130;1
WSLBAF;200001031140;1
WSLBAF;200001031150;1
WSLBAF;200001031200;1
WSLBAF;200001031210;2
WSLBAF;200001031220;2
WSLBAF;200001031230;2
WSLBAF;200001031240;3
WSLBAF;200001031250;3
WSLBAF;200001031300;5
WSLBAF;200001031310;4
WSLBAF;200001031320;5
WSLBAF;200001031330;5
WSLBAF;200001031340;5
WSLBAF;200001031350;5
WSLBAF;200001031400;6
WSLBAF;200001031410;6
WSLBAF;200001031420;6
WSLBAF;200001031430;6
WSLBAF;200001031440;6
WSLBAF;200001031450;6
WSLBAF;200001031500;8
WSLBAF;200001031510;8
WSLBAF;200001031520;7
WSLBAF;200001031530;6
WSLBAF;200001031540;2
WSLBAF;200001031550;1
WSLBAF;200001031600;1
WSLBAF;200001031610;1
WSLBAF;200001031620;0
WSLBAF;200001031630;0
WSLBAF;200001031640;0
WSLBAF;200001031650;0
WSLBAF;200001031700;0
WSLBAF;200001031710;0
WSLBAF;200001031720;0
