Cressier	431	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Davos	1594	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Delémont	439	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Derborence	1366	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Disentis / Sedrun	1197	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Durnand	1214	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Ebnat-Kappel	623	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Eggishorn	2893	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Egolzwil	521	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Einsiedeln	910	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Elm	958	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Emosson	1923	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Engelberg	1036	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Ergisch	1133	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Evionnaz	482	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Evolène / Villa	1825	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Fahy	596	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Findelen	2170	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Flühli, LU	940	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	19.03.2015	31.12.2015	
Fribourg / Posieux	646	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Frutigen	756	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	18.08.2015	31.12.2015	
Genève-Cointrin	412	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Gersau	521	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	10.03.2015	31.12.2015	
Giswil	471	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Glarus	517	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Gornergrat	3129	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Göscheneralp	1745	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Gösgen	380	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
Grächen	1605	Air temperature 2 m above ground; current value	degree Celsius	Ten minutes	01.01.2015	31.12.2015	
